2025-09-06 20:39:00 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 3 falló, reintentando en 4s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgindustria', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbf230>: Failed to resolve 'www.gobiernodecanarias.orgindustria' ([Errno -2] Name or service not known)"))
2025-09-06 20:39:04 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:39:04 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:39:04 | [31mERROR[0m | canarias_scraper.retry | wrapper:21 | ❌ Falló después de 3 intentos: HTTPSConnectionPool(host='www.gobiernodecanarias.orgindustria', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbec30>: Failed to resolve 'www.gobiernodecanarias.orgindustria' ([Errno -2] Name or service not known)"))
2025-09-06 20:39:04 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _scrape_area:55 | Error en área industria: HTTPSConnectionPool(host='www.gobiernodecanarias.orgindustria', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbec30>: Failed to resolve 'www.gobiernodecanarias.orgindustria' ([Errno -2] Name or service not known)"))
2025-09-06 20:39:04 | [32mINFO[0m | canarias_scraper.GobcanScraper | scrape_documents:19 | Procesando área: turismo
2025-09-06 20:39:04 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgturismo/
2025-09-06 20:39:04 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgturismo/
2025-09-06 20:39:04 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 1 falló, reintentando en 1s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgturismo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbe3f0>: Failed to resolve 'www.gobiernodecanarias.orgturismo' ([Errno -2] Name or service not known)"))
2025-09-06 20:39:05 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgturismo/
2025-09-06 20:39:05 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgturismo/
